track_id,album_id
1mqYfgGCRADYVJ7YzTKi8t,3ZJCkMzqe5OzSkYMrCcuAs
5RFwH3iyUQKFWn6qF8kk5a,3ZJCkMzqe5OzSkYMrCcuAs
3OGcceoTcTwRQjJmh1K5jF,3ZJCkMzqe5OzSkYMrCcuAs
7FMqPuhsyqfA65Mw0QgU1i,3ZJCkMzqe5OzSkYMrCcuAs
5LNSYZlWrsOxwNRBb4tipL,3ZJCkMzqe5OzSkYMrCcuAs
7zV6lcEbkYnRIlztJR14hK,3ZJCkMzqe5OzSkYMrCcuAs
5OpLlRepZxc5LIS48Cfogg,3ZJCkMzqe5OzSkYMrCcuAs
52BNavXSfm4ActDpFKTvl1,3ZJCkMzqe5OzSkYMrCcuAs
6UdhIn5jito25nOYZ5jWlA,04G0YylSjvDQZrjOfE5jA5
1EzrEOXmMH3G43AXT1y7pA,04G0YylSjvDQZrjOfE5jA5
0IktbUcnAGrvD03AWnz3Q8,04G0YylSjvDQZrjOfE5jA5
7rrmHHc1kY9vkIZnXrcH7T,04G0YylSjvDQZrjOfE5jA5
0XIVmUXrwk0IjQEOWFnyn1,04G0YylSjvDQZrjOfE5jA5
5OJ5utPWQbBRmGOZ6HpxgO,04G0YylSjvDQZrjOfE5jA5
7EvZucbeXRDEwT4cFpHEi8,04G0YylSjvDQZrjOfE5jA5
6vPVvxt3QOORYL7EtoU80M,04G0YylSjvDQZrjOfE5jA5
0dJL53qS9Vc4hLONKPJ7tj,04G0YylSjvDQZrjOfE5jA5
2YFy7hG1A583BPZQ2SYdKd,04G0YylSjvDQZrjOfE5jA5
5wfiaGgyuQcW2hvDy2NB5J,04G0YylSjvDQZrjOfE5jA5
4HMVeqf1r9cH240Ann9sJ3,04G0YylSjvDQZrjOfE5jA5
5f6YuUUT5XI0e2Jh22Yrsy,1UwzOp5hn3lAbOqsAfXBw8
3S0OXQeoh0w6AY8WQVckRW,1UwzOp5hn3lAbOqsAfXBw8
2qLMf6TuEC3ruGJg4SMMN6,1UwzOp5hn3lAbOqsAfXBw8
095eK5hacN4Y9r7k8TyJ1B,1UwzOp5hn3lAbOqsAfXBw8
7M2qyNIe1MQoZBkxNGg7Fh,1UwzOp5hn3lAbOqsAfXBw8
1Qvuj9WloHBRn7FRoCXepE,1UwzOp5hn3lAbOqsAfXBw8
3tpa0xZodDk9jmEKiio1Jb,1UwzOp5hn3lAbOqsAfXBw8
1BWznhHZPGriEWStDgmjai,1UwzOp5hn3lAbOqsAfXBw8
7Ajbt9UQ50yQ0fpFG5hj13,1UwzOp5hn3lAbOqsAfXBw8
40kxsbln77BpIcTtEUCVQF,1UwzOp5hn3lAbOqsAfXBw8
4b3sAxlH3wN8fdfXERRGWj,1UwzOp5hn3lAbOqsAfXBw8
6MevqVHN7ZhPHza4dyW5XT,1UwzOp5hn3lAbOqsAfXBw8
384ft9nYgu5fpnbeSMXkMo,1UwzOp5hn3lAbOqsAfXBw8
7aKiTB0GHIxQ6FzSd42cVp,1UwzOp5hn3lAbOqsAfXBw8
5EShFPc0rLTHE2NaXlDume,1UwzOp5hn3lAbOqsAfXBw8
4oMM5SNyReTkWxkFS6CJBN,1UwzOp5hn3lAbOqsAfXBw8
6VOlbywGMxBZ7fIlIlNhVQ,1UwzOp5hn3lAbOqsAfXBw8
4x3lPTB6wzpwA32liJXO67,1UwzOp5hn3lAbOqsAfXBw8
3SilXXlKcKTxdIW1jSAfss,1UwzOp5hn3lAbOqsAfXBw8
2FiHYjZn3IMbkPCnhcyBqT,1UwzOp5hn3lAbOqsAfXBw8
4mAIfqhdsleDmcrA2FGZkj,1UwzOp5hn3lAbOqsAfXBw8
4bx7VFuRSNrH1f2x2zZal2,1UwzOp5hn3lAbOqsAfXBw8
2lxeD9NPeddR6LI5bmGfQw,1UwzOp5hn3lAbOqsAfXBw8
6HsL3NT4niSrf4wvG0Mbwn,1UwzOp5hn3lAbOqsAfXBw8
2eA84oI2fHVrddTBEcMYR9,1UwzOp5hn3lAbOqsAfXBw8
3Da88gQb83dmuNi5kdSlgy,1UwzOp5hn3lAbOqsAfXBw8
6gOxKOdSzyGiH2kvyppJ9i,1xT5AJ90okXtEV70jLkXNY
4ZBVkrDINAd9aprURGHhav,1xT5AJ90okXtEV70jLkXNY
2OK0Jbl2kcEkDf221aWBWB,1xT5AJ90okXtEV70jLkXNY
70ihkWuXHvsWs1a2NByYJ8,1xT5AJ90okXtEV70jLkXNY
4UYNHzyxCeOm2N6Yuq75yu,1xT5AJ90okXtEV70jLkXNY
0XPSu5jU5KwV6tsyf63FJt,1xT5AJ90okXtEV70jLkXNY
5Oo3keOfcfPcZ9XdbxEPjT,1xT5AJ90okXtEV70jLkXNY
7jIOfVSTZWb2Qvr9KhA4r1,1xT5AJ90okXtEV70jLkXNY
44LLC68TBQfZ88u3FoRFYO,1xT5AJ90okXtEV70jLkXNY
1jCNZGXATpwbQPmK4090x8,1xT5AJ90okXtEV70jLkXNY
1kk0Zd9QipIB9kAlWt8LzU,1xT5AJ90okXtEV70jLkXNY
4OjosZevoISsNKOEmD1Sj8,1xT5AJ90okXtEV70jLkXNY
67Bzf8n42MXKB6D5qvWDaX,1xT5AJ90okXtEV70jLkXNY
3CAE5IACqVRPQRCxsl1qFs,1xT5AJ90okXtEV70jLkXNY
6yyQumU5oO0m7mWIqU907u,1xT5AJ90okXtEV70jLkXNY
09WJqO0Un8WjnfXYgvdKwA,1yN7lmtDbJYWkblSBLoAXA
393tM6FFkxhkZOqJBGWr4H,1yN7lmtDbJYWkblSBLoAXA
7H0pYa3WsOFj1SfePD6R5G,1yN7lmtDbJYWkblSBLoAXA
1GiFW1ghSjlhHZclCU23Hy,1yN7lmtDbJYWkblSBLoAXA
4ndj87Tz0QE8ECxcqsovla,1yN7lmtDbJYWkblSBLoAXA
6ZXCYyeFEE41bxIXHxR8HR,1yN7lmtDbJYWkblSBLoAXA
5m69QONwsVBOYJAeQrjI2t,1yN7lmtDbJYWkblSBLoAXA
0PSpPABGFLN4D9Iqa46CQj,1yN7lmtDbJYWkblSBLoAXA
5y4N2KP9c3amtXlfxplF1s,1yN7lmtDbJYWkblSBLoAXA
2U80PsQHnfb2svAHIXqWsE,1yN7lmtDbJYWkblSBLoAXA
14dkXCyDuMbZXmmWYoVITx,1yN7lmtDbJYWkblSBLoAXA
